name,agn_spec_class,xray_lum,logmass,RA,Dec,type,slope,cen_dens,dist
NGC 4494,,39.6,10.683180884786776,187.8501255,25.7749722,0,-1.380368675806925,23849.446048531587,16.9
NGC 4528,,0.0,9.850156024634334,188.5253535,11.3212276,0,-1.0969637742971288,6990.367566617581,15.848925
NGC 4551,,0.0,9.859976090744915,188.908161,12.2639835,0,-1.1506197489421153,7403.304148061944,16.143592
NGC 4552,S2,39.46,10.703872453635112,188.9160405,12.5562424,0,-2.4166666180840313,2859.005251342126,15.848925
NGC 4589,,39.0,10.71892086206897,189.35429100000002,74.1918611,0,-1.37423535565327,6137.49421742067,22.4
NGC 4612,,0.0,9.975032184192388,190.386459,7.3148755,0,-1.9852502685380926,7066.035895461536,16.595879
NGC 4621,,38.98,10.649412404122236,190.509333,11.6472733,0,-1.7904380764159589,74537.78292407391,14.927953
NGC 4623,,0.0,9.706451919109108,190.544589,7.676976,0,-2.053722620476117,4884.138283178315,17.378018
NGC 4638,,39.22,10.140949900868476,190.697583,11.4424897,0,-0.9780356559196676,26611.189669287585,17.458206
NGC 4649,,38.42,11.177372897349697,190.9165035,11.5527063,0,-1.5008482995237376,984.9086369200677,17.29816
NGC 4660,,0.0,9.932894241824602,191.133249,11.1905117,0,-1.829283802314234,115832.15371940023,14.996836
NGC 4733,,0.0,9.830607013422057,192.7782255,10.9120916,0,-3.110534378680331,3113.2155274317347,17.4
NGC 5061,,-99.0,10.878399471563085,199.521255,-26.8371305,0,-0.486262021194237,3057.188426061305,25.2
NGC 5557,,39.37,10.875570391502777,214.6071795,36.493565,0,-0.6830137751241494,2505.566966916266,49.69447143573579
NGC 5576,,38.73,10.578916404810272,215.265411,3.2710116,0,-0.9239362471536071,13474.052217619952,25.5
NGC 5813,,39.1,11.079827940025623,225.2970015,1.7020032,0,-0.0075641640758022655,205.03597859201884,32.167
NGC 5982,,39.36,10.972229346322528,234.6658485,59.3558674,0,-0.5377025152034566,519.5410807783816,40.4
NGC 7213,S3b,-99.0,10.736749057660463,332.318109,-47.1668438,1,-3.5605516775726596,45402.16710688991,20.56795950264381
NGC 7457,,38.16,9.880932310294373,345.249708,30.1448889,0,-2.3417927403245833,11310.064811466964,12.1
NGC 7727,,38.78,10.667901662763809,354.97428749999995,-12.2927807,1,-1.6328748779536402,17019.408186498153,23.35678194402176
NGC2787,S3b,38.66,9.946597355433656,139.827486,69.203253,1,-1.42,8511.380382023768,7.48
NGC2903,,0.0,10.403076034315172,143.042125,21.500833,1,-1.56,10715.193052376071,8.87
NGC3115B,,-99.0,9.033360834943373,151.423333,-7.9815,0,-1.86,1621.8100973589299,9.7
NGC3274,,0.0,8.222283751839406,158.071958,27.668778,1,-2.63,223.872113856834,7.98
NGC3344,,0.0,9.903755777012973,160.879792,24.922222,1,-1.43,6760.829753919819,9.82
NGC4242,,-99.0,9.098982040317122,184.37574,45.619297,1,-1.8,107.1519305237606,7.9
NGC4517,S3,0.0,9.857277182360711,188.189958,0.115028,1,-2.44,407.3802778041126,8.36
NGC4592,,0.0,9.447430460793068,189.828067,-0.532008,1,-2.87,562.341325190349,16.5
NGC4600,,-99.0,9.01174845478923,190.095664,3.11775,1,-2.09,1659.5869074375614,9.29
NGC4605,,0.0,9.167327902302459,189.997417,61.609194,1,-2.75,4466.835921509631,5.55
NGC4941,S2,40.88,9.957531802097837,196.05475,-5.551611,1,-1.8,5623.413251903491,12.154160142933312
NGC5055,,38.59,10.504803336724402,198.955542,42.029278,1,-1.87,3981.0717055349733,9.04
NGC5068,,0.0,9.391615345056975,199.728375,-21.039111,1,-1.68,478.6300923226385,5.15
NGC5195,,38.73,10.102031844992691,202.498292,47.266139,0,-1.23,8511.380382023768,7.66
NGC5236,,38.53,10.442838185299522,204.253958,-29.865417,1,-2.48,4570.881896148751,4.9
NGC5238,,-99.0,7.7532795666830925,203.677138,51.61368,1,-2.76,109.64781961431851,4.51
NGC5457,,38.07,10.207008182921568,210.802267,54.34895,1,-1.82,2951.209226666387,6.95
NGC6503,,37.56,9.646376269699696,267.360133,70.144366,1,-2.75,2630.2679918953813,6.25
NGC7713,,-99.0,8.971606845819757,354.062458,-37.938083,1,-3.22,67.60829753919819,7.8
PGC 028887,,-99.0,9.90634910726435,149.931228,11.6607552,0,-1.2666199011880006,18782.378884936046,44.02027308949578
PGC 050395,,-99.0,9.712895837407642,211.9136565,54.7946125,0,-2.699874139307688,14400.690717664851,36.04168369569014
PGC009140,,-99.0,8.16,36.181083,-73.5134444,0,-1.5904421429666482,198.65264800018872,2.0
SDSSJ11584,,-99.0,7.53,179.6838615,27.5850313,1,-2.324514819128715,36.93773693007011,12.59
SDSSJ12053,,-99.0,6.61198218,181.3792275,31.0762021,1,-2.6685693499440175,82.57873826133783,6.43
UGC05829,,-99.0,8.52871022,160.67627399999998,34.4486941,1,-2.7833825795834266,182.7410337957314,9.95
UGC07242,,-99.0,7.75,183.53502749999998,66.0946866,1,-2.659108224587173,165.7187422812464,5.45
VCC 1199,,0.0,8.804271836618433,187.39578749999998,8.0579805,0,-1.4132324141949497,3652.744574556777,16.5
VCC 1440,,0.0,8.83251465296999,188.1392145,15.4154015,0,-1.6024669187420635,4007.2426949140345,15.99558
VCC 1545,,0.0,8.847747331852252,188.5480245,12.0489745,0,-1.2300173205260554,228.55456052314148,16.826734
VCC 1627,,0.0,8.59924922710423,188.90519849999998,12.3820339,0,-1.2467396212725084,3353.4454559288533,15.631468
[KK2000] 5,,-99.0,6.85,197.80916666666667,-38.90611111111111,0,-1.5108262814377977,58.583048772766844,2.92
